"subject" "Activity_Label" "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tGravityAcc-std()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyAccJerk-std()-X" "tBodyAccJerk-std()-Y" "tBodyAccJerk-std()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z" "tBodyAccMag-mean()" "tBodyAccMag-std()" "tGravityAccMag-mean()" "tGravityAccMag-std()" "tBodyAccJerkMag-mean()" "tBodyAccJerkMag-std()" "tBodyGyroMag-mean()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-mean()" "tBodyGyroJerkMag-std()" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-std()-X" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyAcc-meanFreq()-X" "fBodyAcc-meanFreq()-Y" "fBodyAcc-meanFreq()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyAccJerk-std()-X" "fBodyAccJerk-std()-Y" "fBodyAccJerk-std()-Z" "fBodyAccJerk-meanFreq()-X" "fBodyAccJerk-meanFreq()-Y" "fBodyAccJerk-meanFreq()-Z" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyGyro-std()-X" "fBodyGyro-std()-Y" "fBodyGyro-std()-Z" "fBodyGyro-meanFreq()-X" "fBodyGyro-meanFreq()-Y" "fBodyGyro-meanFreq()-Z" "fBodyAccMag-mean()" "fBodyAccMag-std()" "fBodyAccMag-meanFreq()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-std()" "fBodyBodyAccJerkMag-meanFreq()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroMag-meanFreq()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-std()" "fBodyBodyGyroJerkMag-meanFreq()" "V80" "NA.1" "NA.2" "NA.3" "NA.4" "NA.5" "NA.6" "NA.7" "NA.8" "NA.9" "NA.10" "NA.11" "NA.12" "NA.13" "NA.14" "NA.15" "NA.16" "NA.17"
1 "LAYING" -0.206463482322581 -0.252890978888889 0.131460794297619 -0.0507869535931507 -0.152661075049412 -0.548739057092105 -0.00979641980769231 0.0204325164244444 0.017930417 0.0285811222608696 0.13270304708 -0.0728625787898305 -0.641474501967213 -0.72764408230303 -0.813981739969231 -0.822189231031746 -0.772237832934426 -0.66211282410339 -0.68173437665 -0.64392916262 -0.507904708851064 -0.280106070266667 -0.0714094308625 0.2409959173125 0.123257825846154 0.0068124432627907 0.0481146847222222 0.054125863175 -0.0327643469826531 -0.1497937373 -0.0439103410238095 0.00845954335789474 -0.130268904025 -0.0120138046976744 -0.645529466666667 -0.422011182307143 -0.53491318558 -0.549601258074074 0.0161381090545455 0.13652452175814 -0.127585747380952 -0.18224182695102 -0.230172906619444 -0.129344042627083 -0.278840874965909 -0.263713577742553 -0.432623903519231 -0.48430401858 -0.5468076416 -0.403311117194 -0.367410073166667 -0.40744353596 -0.465817022666667 -0.50588688924 -0.50697727262963 -0.448203928924528 -0.40734509526 -0.391158544022727 -0.830928314606897 -0.795000522383333 -0.842541339180328 -0.838143002272131 -0.869669216779661 -0.80219912852459 -0.677573285355 -0.660946735762712 -0.62237320089322 -0.794969040508475 -0.782035708949153 -0.783130559836066 -0.834445570508197 -0.848826699322034 -0.784971917576271 -0.789859782459016 -0.752832727 -0.681683796172414 -0.539938039637931 -0.605330486185185 -0.553162841206897 -0.696506544758621 -0.798327354574074 -0.699480585944828 -0.815767303125455 -0.741824275413793 -0.809587735350877 -0.803249162983333 -0.847665865172414 -0.792689658792453 -0.697735455655172 -0.729288347789474 -0.720009991308929 -0.543146195248214 -0.68063611388 -0.512762330532653 -0.504918756823077 -0.546737739519231 -0.548029197395833
1 "SITTING" -0.0367137191285714 -0.234623129908 0.159008885811765 -0.0980563619753425 -0.112844320806185 -0.510569488422535 0.0287457378 0.0022334198375 -0.0347775171325581 0.0541454284478261 0.0549995415818182 -0.0187486977666667 -0.574447428545454 -0.778129700982143 -0.736515809089286 -0.79151378877193 -0.804851546392857 -0.708469370925926 -0.648565531847273 -0.643496240892857 -0.664034935710417 -0.36350290808125 -0.288810495821622 0.0220135354444444 0.0462159490219512 0.0195673801794872 -0.0901082186521739 -0.123840263657143 0.000643285288888891 -0.165458533769767 -0.107007586969697 0.165393954222222 -0.0356497497954545 -0.124377284595238 -0.608701506507547 -0.554437615102041 -0.351458860762 -0.464121948427083 0.164668631205128 0.122639120499722 -0.1194503895 -0.159022240193023 -0.217383114596365 -0.145556736763265 -0.305967908931818 -0.231690404655814 -0.438513729418182 -0.548658770672549 -0.479223838735849 -0.527529246317647 -0.48944708467234 -0.432192067254902 -0.4831980752 -0.490744462787234 -0.466619683914 -0.495161448654545 -0.510747323 -0.482542122732653 -0.886220683666667 -0.8831137925 -0.908326396333333 -0.888735848333333 -0.89161378 -0.903723100666667 -0.664225269043103 -0.663140311055 -0.628409366448276 -0.857361120666667 -0.872296941666667 -0.8816932025 -0.882148511333333 -0.901066014666667 -0.826969799152542 -0.778645619580357 -0.746606053218182 -0.612578479672727 -0.619475663945283 -0.611486141648148 -0.637664998686274 -0.681111464416667 -0.754048209214286 -0.748821022 -0.76711560909434 -0.73978648212963 -0.789955685352941 -0.779457197534483 -0.751773285172414 -0.820796017982759 -0.825263962655172 -0.784567609631579 -0.786504953818182 -0.430703262176471 -0.489327886767442 -0.378729240138462 -0.482211347022222 -0.40805430155102 -0.503424006829268
1 "STANDING" -0.0897378054 -0.289423349434783 0.205893395569892 -0.0559143123030928 -0.156711558345833 -0.717921502494737 0.0557280964924528 0.0484654897777778 0.0440577180044444 0.109418358822 0.0517907373355932 0.0229063486021277 -0.907317706962025 -0.887436223210526 -0.821962588554054 -0.715185203243243 -0.666029302878788 -0.411660539920339 -0.658719105842857 -0.550615962429091 -0.0414792988823529 0.208789315217391 0.445341389955556 0.357395669291304 0.0336166505207547 -0.00247234750185185 -0.0259375448836364 -0.0416390331864407 -0.0860821127575 -0.149606627092037 0.075424370925 -0.0233013497 -0.0252464856490196 -0.113708987145161 -0.714597882352113 -0.63161182019697 -0.786397168873239 -0.703549306064667 0.0860185038184444 0.09889712576 -0.0551825106823529 -0.138508398672414 -0.264501022132075 -0.233907996786885 -0.375246929697101 -0.546932385717391 -0.527120462519697 -0.394562303708197 -0.250231967711864 -0.574488479746479 -0.662954727471429 -0.701315056555556 -0.746895122635135 -0.827410357838235 -0.731105313324324 -0.509456704333333 -0.419159349026667 -0.407988039128654 -0.93857138038961 -0.91526795525641 -0.927063723846154 -0.932187831410256 -0.929652566538462 -0.93305080987013 -0.538430239733333 -0.601155259909091 -0.503633780692308 -0.917550786282051 -0.915124065397436 -0.909385767923077 -0.935598817820513 -0.91777138048718 -0.820125756194805 -0.789291932653333 -0.751277711615385 -0.452909196513514 -0.439490549179104 -0.444561243029851 -0.721083837422535 -0.876082841605263 -0.870057598340789 -0.866366529181818 -0.89735052104 -0.883900317105263 -0.900200911710526 -0.717280184782609 -0.696770329351351 -0.766284465352113 -0.76640803960274 -0.78688259661039 -0.846425696849315 -0.600058379873016 -0.567251865375 -0.460012354806452 -0.513056167375 -0.291515040561818 -0.370577137396552
1 "WALKING" -0.303205076930882 -0.33338385080303 0.0443706700822485 -0.180247127859589 -0.160303997725128 -0.479619514964667 0.01505365025 -0.0548977412620253 0.036728973908 0.11189746874026 0.063298955617284 0.0137907282771084 -0.720651282423077 -0.743469115238532 -0.692685150485714 -0.663189436528302 -0.672483853267327 -0.578539524565657 -0.592811358441304 -0.461016145240964 -0.194900037128205 0.0122494187058824 0.132696828805556 0.162459134887879 0.00490542505 0.0170319546329114 -0.0474422292986667 -0.0409356631210526 -0.03855732150875 -0.130750763117808 -0.0796434628364865 -0.0254644273714493 -0.0348599284 -0.0833378255333333 -0.539052624380313 -0.512611570617284 -0.556884956876289 -0.581989136351064 0.0784868151178571 0.156172391325536 -0.0656400285513889 0.0255552316393443 -0.03503814006625 -0.21234971956 -0.241530196114667 -0.28654809083956 -0.405295428977778 -0.316014776813882 -0.258407923288506 -0.404931745825172 -0.367070208665476 -0.398025738550562 -0.45164756427931 -0.443225579188889 -0.497146956722222 -0.514852687313954 -0.393832260662766 -0.400318308440964 -0.819491066203704 -0.836533137904762 -0.821139104299065 -0.872748303019048 -0.841149797603774 -0.859899304166667 -0.711558044558824 -0.660595961847115 -0.686930668231579 -0.869433185885714 -0.863285544849057 -0.878683911346154 -0.844647333398148 -0.89994990375 -0.743519251124038 -0.668855194913462 -0.674545015602885 -0.606708427360825 -0.406375847393258 -0.421341087546512 -0.481321548774713 -0.748455416768421 -0.677167592843137 -0.745604903940594 -0.787062480160577 -0.781346079737864 -0.805313725490196 -0.752930598223301 -0.769404544601942 -0.77842104776699 -0.766947159869231 -0.738045186480392 -0.710144248455446 -0.606974926645833 -0.583829589164835 -0.510692602434783 -0.547475190092553 -0.525758138336842 -0.55144142076087
1 "WALKING_DOWNSTAIRS" -0.25284613527027 -0.328716546564103 0.0274374144235294 -0.101240841388846 -0.173317169795506 -0.393324833905882 0.0460042114318182 -0.072777594396 -0.0514827188064516 0.164026873794872 0.0368050939209302 -0.0463158014939024 -0.592958079142857 -0.683430882115385 -0.789816678571429 -0.678713188811321 -0.791004463269231 -0.715505116512245 -0.380306023659574 -0.459037374742857 -0.361093248477179 -0.286178351609756 -0.313317153294872 -0.169824459484848 0.0838171582424242 0.0193970526461538 0.0338574257503226 0.0498253624342857 -0.00186542864722222 -0.0459482815 -0.0362725160179487 -0.0331287435806452 0.0315769163783784 -0.0653506036923077 -0.344093200466667 -0.344925292904762 -0.281602801526316 -0.248458260255814 -0.0458805744857143 0.12142512537931 0.0749806120555556 0.0912174648846154 0.102808859289474 -0.0497397079285714 -0.0510953385384615 -0.113443641533889 -0.241341676465116 -0.343350117136364 -0.301860586023256 -0.251548077292683 -0.294930479 -0.295972491164583 -0.419843868216216 -0.26685939918 -0.253478608334783 -0.426128308385714 -0.54661647602439 -0.351153088627907 -0.777562711755102 -0.661723200211538 -0.762020933958333 -0.706528989960784 -0.79362157244898 -0.77618735456 -0.593910765613186 -0.678614278808511 -0.574560143167347 -0.746177002916667 -0.711012619183673 -0.812071640826087 -0.661075143326923 -0.79990086 -0.69989068945098 -0.654218253836735 -0.670926906784314 -0.65492284998 -0.545078715348837 -0.407700017144792 -0.332787252620455 -0.555307269944444 -0.576700508162791 -0.575936107083333 -0.624424460323256 -0.571778727235294 -0.721991426285714 -0.750011221923077 -0.785335026320408 -0.740831579666667 -0.767122312479167 -0.664790393354167 -0.706250111 -0.531987406295455 -0.501272524680851 -0.561720213340426 -0.460242669590909 -0.49692938549375 -0.616435945777778
1 "WALKING_UPSTAIRS" -0.185837402189189 -0.37262340009375 0.0949921223956044 -0.0935053084482955 -0.180884353786598 -0.541626807951807 0.0760088997509804 -0.0365427548019231 0.0209021026552632 0.0628011945164407 -0.0221837694390244 0.119227519291296 -0.753547252419355 -0.722799966296875 -0.755644967907692 -0.734829723492064 -0.649417024655172 -0.506665449925926 -0.511838877020833 -0.286649046062745 -0.175762773609756 0.105447282 0.184642235023256 0.2801250882 0.0843509560414634 0.00752261500638298 0.01634619682275 0.0403213956847826 -0.0245372750767442 -0.059250381108 0.0640156024411765 0.0194113076630435 0.0310538369723256 0.00930643427857143 -0.452818831207273 -0.44203331278 -0.62936342364 -0.490335461 0.0304670475780488 0.102465366545 -0.0919961555111111 -0.139521791136818 -0.2019552121 -0.272622062041304 -0.280270630090667 -0.297398656717308 -0.379639799843478 -0.325140804129091 -0.379996849122449 -0.461104781049615 -0.446059554945455 -0.492651812387931 -0.528866322181818 -0.461257125875 -0.58228340602125 -0.32288315790566 -0.412415899868 -0.325521745458462 -0.790882665780952 -0.829666538870968 -0.78112659125 -0.83303221968254 -0.822385916190476 -0.825004277460317 -0.517682136105263 -0.530208603222222 -0.459370280055556 -0.790166704508197 -0.769584263133333 -0.773938332809524 -0.811702419507937 -0.79773269390625 -0.777574160328125 -0.750866697387097 -0.729030919612903 -0.485869438191525 -0.444434130959649 -0.482987943118644 -0.634261166983333 -0.639377657929825 -0.662111070254237 -0.718093420448276 -0.669807952649123 -0.699698204067797 -0.699508812068966 -0.750499349016393 -0.777564649169492 -0.744533829 -0.739854301644068 -0.71728621557377 -0.806371368225806 -0.44490261104717 -0.509369191096296 -0.496058309761818 -0.509393219221569 -0.42384057654 -0.451574085612245
2 "LAYING" -0.1620349405 -0.0174081643793103 0.108443589783133 -0.0596210538191781 -0.12710370174878 -0.479190127036585 0.069878212425641 0.135590420111111 0.0165950597744186 0.0594725343676471 0.0767452993613636 -0.081553083693617 -0.656347746163934 -0.823005037573771 -0.864131471774194 -0.798750470393443 -0.706672319885246 -0.734253091740741 -0.636060663793103 -0.569561730909091 -0.16386150048 -0.218189195 0.166614028136364 0.0707611838157895 -0.0660137501622222 -0.0378550186555556 -0.0367223623394231 -0.200217747083721 -0.0738960570723404 -0.124731972831818 0.0175889845402 -0.0954573050225 -0.06241285072 -0.143272486675676 -0.561266838727273 -0.584033827069091 -0.610977127931035 -0.666744734981818 0.0286855971382353 0.113755136038462 -0.0806757654481818 -0.128602839452273 -0.15862384865 -0.1271639710125 -0.223256080016667 -0.214793512177273 -0.524817965179661 -0.482472661973019 -0.421741071477586 -0.471450263039216 -0.487323145269231 -0.462597566963636 -0.46388089235 -0.344815363946429 -0.562448355943396 -0.556651654169231 -0.441447648596429 -0.486884432530612 -0.873974152380952 -0.914872351904762 -0.912262073015873 -0.928536678888889 -0.890057787936508 -0.923089132063492 -0.650855172066667 -0.708192605166667 -0.6501611535 -0.919941027936508 -0.895015038238095 -0.911986624285714 -0.890148866031746 -0.892518986190476 -0.774368552761905 -0.730151789967213 -0.709990704349206 -0.614131346964912 -0.5939063614375 -0.408785156529412 -0.471413447927778 -0.815725680639344 -0.825290546931034 -0.795653031940678 -0.80516549435 -0.863026071333333 -0.854992995423729 -0.845865673290323 -0.855366478127419 -0.743543332854839 -0.738151475737705 -0.762833046949153 -0.703555127508475 -0.55070873072549 -0.528916092040755 -0.526138240222222 -0.603415128156863 -0.517753818935849 -0.61744796754902
2 "SITTING" -0.102106576640741 -0.311773408043478 0.170550146320513 -0.0444302334038889 -0.139114827214286 -0.495945889865672 -0.0215514929375 0.0725656554047619 0.0379128115348837 -0.00440075329166667 0.0529230658872093 -0.056930664 -0.862112366428571 -0.833043989137931 -0.879796266140351 -0.854835103275862 -0.738363236017857 -0.600875113317021 -0.650717663207547 -0.596102588652174 -0.314846867707317 -0.0297365198736842 0.143183502277778 0.275322050588235 -0.0043339856744186 -0.0909853960682927 -0.0399343142489362 -0.0386756081928571 0.0661697514186046 -0.112289262234565 -0.112539505340909 -0.0904811604891892 -0.0375822316818182 -0.043269136 -0.73308741209434 -0.58689973354717 -0.630672070714286 -0.714498818518518 0.0661485430512821 0.0184445644285714 -0.067689173075 -0.146461739523684 -0.125649551782609 -0.274026951619565 -0.379115057942857 -0.337565872764706 -0.39708441262 -0.32756316676 -0.374172707346939 -0.539948849388 -0.527751878611111 -0.61474605255102 -0.566629568712245 -0.5582304866875 -0.523323940433962 -0.562884064408163 -0.397115509978261 -0.323091952531915 -0.846167629118644 -0.910616539655172 -0.873615844915254 -0.904990551355932 -0.906240694915254 -0.905361810338983 -0.677247604150943 -0.579842118980769 -0.552214717131482 -0.903157898245614 -0.864516281355932 -0.915321055689655 -0.915313558644068 -0.900153960847458 -0.776411166949153 -0.714365006949153 -0.674255534482759 -0.579559709673077 -0.474802798940909 -0.309852271938776 -0.590615748918 -0.744677861107143 -0.783591521218182 -0.810642392414815 -0.804722744719298 -0.820026224035088 -0.850845713842105 -0.759571786789474 -0.779196554854545 -0.731248334237288 -0.825722302807018 -0.784041192071429 -0.728757787982456 -0.496741198793058 -0.49960882816875 -0.481498144685106 -0.412875456654545 -0.565020509731915 -0.456891958607407
2 "STANDING" -0.182708313623077 -0.332677091421053 0.232956168704082 -0.0501989497727273 -0.140580045723958 -0.525651926080233 0.0624167605803571 -0.0266032790266667 -0.000577000435714286 0.0101790750173077 0.000642354015873015 -0.0446812684856842 -0.715936050514286 -0.742485374647887 -0.778319352506667 -0.797455085066667 -0.765553446973684 -0.731519521846154 -0.69878533735 -0.537743867 -0.420857505027419 -0.384918050591754 -0.148275145888889 0.0574712658509091 -0.0232103435833333 0.0248093006256604 0.0157155250146 -0.0131740479017241 -0.0548521817644444 -0.0289820785896491 -0.0741930252810345 -0.0819424021041667 -0.0864020545659575 -0.0302125873389831 -0.6904540324375 -0.552340144144927 -0.636154247426471 -0.582351558925373 -0.05233847585 0.0152818065229434 -0.121229231580851 -0.0682649038666667 -0.179095932137255 -0.191446480172414 -0.29908960457377 -0.378054867129032 -0.477173132505714 -0.485050465423729 -0.395993079379365 -0.524219045230769 -0.51046586525597 -0.584780653328125 -0.522603226805882 -0.560327492219524 -0.569465842954242 -0.523481242528788 -0.501126941 -0.414325589506897 -0.858305913636364 -0.909116068466667 -0.89023140176 -0.865417716118421 -0.889652977866667 -0.891392156133333 -0.690022384608108 -0.714996731455882 -0.541384143386667 -0.868864933466667 -0.888750716710526 -0.8719692624 -0.874697828933333 -0.843933943947368 -0.767065453948052 -0.74707714025974 -0.757960809946667 -0.534093713270833 -0.529366252105152 -0.499396628323077 -0.653702741057971 -0.789542856144737 -0.830177918934211 -0.847403922159211 -0.864025078026316 -0.869302137210526 -0.860992217935065 -0.806883151216216 -0.7963894004 -0.825428239305556 -0.747238101714286 -0.680392707072464 -0.633315420559315 -0.6153229344375 -0.561390041064516 -0.519425614691176 -0.568850956612903 -0.426184760003333 -0.423621520815385
2 "WALKING" -0.037886177 -0.244085747894737 0.175404760516364 -0.0687130110773684 -0.083698109285 -0.620706930652 0.0283062482545455 0.0553045605665532 0.051941975504918 0.0207689858583333 0.0448478101920635 -0.04663806648 -0.762977579259259 -0.846811776428571 -0.852369674253012 -0.790874663157169 -0.656343717388889 -0.500849832028169 -0.707283739702703 -0.545229811055556 -0.484201849016393 -0.0728003072037037 0.0994331198148148 0.262316149979167 -0.0167057457637931 -0.0765252637777778 -0.0549691267362069 0.00176229478235294 -0.0163688707766667 -0.0596932036557377 0.00396582365409836 -0.00755742964038461 -0.0895925749041538 -0.145952497440678 -0.6046042182625 -0.678420667225352 -0.569971256875 -0.709991791428571 0.131013157932258 0.0384324157052449 -0.146135903359649 -0.201633282459016 -0.235603274396825 -0.343247888876119 -0.405297186308824 -0.448629029901408 -0.45234008964 -0.441795686753425 -0.481924656115714 -0.621855606013158 -0.639657640217949 -0.711867764466667 -0.6337706620625 -0.756565706958904 -0.658059865513513 -0.486004616514706 -0.413301813072464 -0.327844666984375 -0.918030542317647 -0.947143790941177 -0.942450295411765 -0.924362363411765 -0.933822727764706 -0.948823508705882 -0.629856992910256 -0.579503334833333 -0.491735316144737 -0.910115080705882 -0.919904193552941 -0.944314375176471 -0.933306951529412 -0.904814496705882 -0.790082137261905 -0.7531098365 -0.74030204052381 -0.587574698471233 -0.420331934835616 -0.5045351951 -0.671087829098765 -0.873247071333333 -0.900317419225301 -0.907710525635714 -0.925483335819277 -0.918945188518518 -0.892360830130952 -0.745761492884615 -0.729328110134146 -0.746701819077922 -0.669314519469136 -0.729560515151899 -0.7087958506 -0.498621549535211 -0.516618322369355 -0.376611577939394 -0.386520673142857 -0.404796759092308 -0.409128104423729
